date,Actual,Predicted
1995-01,7.5,7.3
1995-02,9.5,11.4
1995-03,9.5,7.2
1995-04,13.5,13.0
1995-05,16.9,14.8
1995-06,19.1,18.7
1995-07,24.9,24.3
1995-08,25.3,23.4
1995-09,17.7,19.4
1995-10,16.6,17.2
1995-11,10.4,11.1
1995-12,4.4,5.0
1996-01,5.6,9.4
1996-02,5.5,4.7
1996-03,6.8,7.1
1996-04,13.0,10.5
1996-05,13.8,11.1
1996-06,20.2,18.9
1996-07,22.2,20.1
1996-08,22.1,21.5
1996-09,17.9,19.8
1996-10,15.2,17.4
1996-11,8.8,9.3
1996-12,5.4,6.0
1997-01,5.5,4.4
1997-02,10.1,9.8
1997-03,12.3,11.4
1997-04,13.5,11.4
1997-05,16.5,15.8
1997-06,18.0,20.8
1997-07,21.5,21.6
1997-08,24.5,24.2
1997-09,18.3,18.1
1997-10,13.9,11.9
1997-11,11.3,11.9
1997-12,8.4,10.3
1998-01,7.7,9.0
1998-02,11.0,10.1
1998-03,11.3,11.1
1998-04,11.4,10.1
1998-05,17.2,14.9
1998-06,18.4,21.6
1998-07,19.7,20.7
1998-08,20.9,20.8
1998-09,18.4,20.0
1998-10,13.9,16.8
1998-11,8.6,8.7
1998-12,8.7,8.5
1999-01,8.5,9.3
1999-02,8.2,10.1
1999-03,10.9,11.1
1999-04,13.8,13.6
1999-05,17.4,17.5
1999-06,18.4,19.8
1999-07,22.9,23.6
1999-08,20.7,20.9
1999-09,20.5,20.7
1999-10,14.5,14.7
1999-11,10.6,13.6
1999-12,7.7,7.9
2000-01,8.8,8.0
2000-02,9.7,8.7
2000-03,11.5,9.9
2000-04,11.9,10.8
2000-05,16.2,17.7
2000-06,19.2,21.3
2000-07,19.5,21.8
2000-08,21.6,20.7
2000-09,18.8,20.5
2000-10,13.8,15.4
2000-11,9.9,11.2
2000-12,7.7,9.0
2001-01,5.6,6.3
2001-02,8.0,8.0
2001-03,8.3,8.0
2001-04,11.6,10.8
2001-05,17.4,15.1
2001-06,18.8,19.8
2001-07,21.9,23.6
2001-08,21.8,23.6
2001-09,16.8,18.1
2001-10,16.6,21.6
2001-11,11.0,10.3
2001-12,6.6,6.1
2002-01,8.5,7.9
2002-02,10.2,10.8
2002-03,11.5,11.6
2002-04,14.2,13.0
2002-05,16.2,16.8
2002-06,19.2,20.8
2002-07,20.8,20.9
2002-08,21.8,23.7
2002-09,18.6,19.4
2002-10,13.4,14.7
2002-11,11.0,14.8
2002-12,7.2,10.5
2003-01,7.1,9.4
2003-02,7.4,5.3
2003-03,12.4,7.3
2003-04,14.8,13.0
2003-05,16.9,18.4
2003-06,21.3,20.5
2003-07,22.3,24.2
2003-08,23.7,23.7
2003-09,20.4,17.2
2003-10,13.5,11.0
2003-11,11.2,11.1
2003-12,7.8,7.2
2004-01,8.2,9.3
2004-02,8.4,9.2
2004-03,10.4,9.7
2004-04,14.0,14.7
2004-05,17.1,15.1
2004-06,20.2,20.1
2004-07,20.5,20.7
2004-08,22.0,24.2
2004-09,18.9,20.0
2004-10,13.9,15.4
2004-11,10.5,11.0
2004-12,8.7,8.5
2005-01,9.0,9.9
2005-02,7.0,8.0
2005-03,10.4,10.3
2005-04,13.6,11.1
2005-05,16.1,14.5
2005-06,20.8,19.0
2005-07,21.2,23.4
2005-08,22.1,20.7
2005-09,19.7,21.8
2005-10,16.3,19.0
2005-11,10.0,9.0
2005-12,7.5,8.0
2006-01,6.8,9.1
2006-02,6.6,7.0
2006-03,8.4,10.1
2006-04,12.8,14.8
2006-05,16.3,15.3
2006-06,21.9,20.8
2006-07,26.5,24.2
2006-08,20.6,23.4
2006-09,21.5,24.3
2006-10,16.4,19.4
2006-11,11.9,12.9
2006-12,9.3,12.4
2007-01,10.1,11.0
2007-02,9.3,9.0
2007-03,11.4,10.8
2007-04,16.7,15.6
2007-05,16.1,14.9
2007-06,19.5,20.0
2007-07,19.9,21.6
2007-08,21.5,21.5
2007-09,19.0,21.8
2007-10,15.8,16.8
2007-11,11.0,10.1
2007-12,7.7,9.1
2008-01,9.7,10.8
2008-02,9.4,8.0
2008-03,10.2,8.7
2008-04,12.2,10.3
2008-05,17.8,18.9
2008-06,19.1,18.7
2008-07,21.8,21.5
2008-08,21.5,24.2
2008-09,17.9,18.1
2008-10,13.8,14.7
2008-11,9.8,12.7
2008-12,6.5,7.6
2009-01,6.2,8.0
2009-02,6.9,7.3
2009-03,11.2,9.7
2009-04,14.9,11.9
2009-05,17.2,15.3
2009-06,20.2,19.7
2009-07,21.2,23.6
2009-08,21.9,24.2
2009-09,18.9,20.8
2009-10,15.5,18.9
2009-11,11.7,14.9
2009-12,5.9,6.0
2010-01,3.9,4.8
2010-02,5.5,5.7
2010-03,10.4,9.1
2010-04,14.4,9.8
2010-05,15.9,14.9
2010-06,21.0,19.4
2010-07,22.0,24.3
2010-08,20.2,20.7
2010-09,18.4,19.4
2010-10,13.9,14.7
2010-11,8.0,9.3
2010-12,2.4,1.8
2011-01,6.8,7.0
2011-02,9.4,11.4
2011-03,11.3,9.1
2011-04,17.3,15.3
2011-05,17.0,16.8
2011-06,19.8,17.1
2011-07,21.5,19.3
2011-08,21.4,20.7
2011-09,20.6,20.9
2011-10,16.9,18.8
2011-11,12.2,16.0
2011-12,8.8,11.4
2012-01,8.8,9.1
2012-02,7.3,7.0
2012-03,13.0,9.4
2012-04,11.4,10.3
2012-05,16.5,15.1
2012-06,17.5,19.3
2012-07,19.9,20.7
2012-08,21.4,20.9
2012-09,18.1,18.8
2012-10,12.8,14.1
2012-11,9.6,10.8
2012-12,7.7,8.6
2013-01,5.8,7.6
2013-02,5.8,6.0
2013-03,5.1,5.8
2013-04,12.4,9.9
2013-05,15.6,14.1
2013-06,18.4,18.0
2013-07,24.3,23.7
2013-08,22.6,23.7
2013-09,18.7,19.4
2013-10,15.8,18.7
2013-11,9.7,9.2
2013-12,9.8,9.9
2014-01,8.7,9.0
2014-02,9.4,10.8
2014-03,12.3,9.9
2014-04,14.8,14.9
2014-05,16.8,17.7
2014-06,20.4,19.0
2014-07,24.1,23.4
2014-08,20.1,20.5
2014-09,20.1,19.4
2014-10,15.8,19.4
2014-11,11.2,12.7
2014-12,8.1,8.5
2015-01,7.7,7.3
2015-02,7.2,7.1
2015-03,10.5,9.2
2015-04,14.5,10.8
2015-05,15.3,14.5
2015-06,19.8,17.6
2015-07,21.3,20.0
2015-08,21.5,20.9
2015-09,17.6,15.3
2015-10,15.0,17.7
2015-11,12.6,14.8
2015-12,12.8,17.7
2016-01,8.7,9.4
2016-02,8.6,7.9
2016-03,9.6,7.9
2016-04,12.0,9.9
2016-05,17.1,15.1
2016-06,19.3,20.7
2016-07,22.0,24.3
2016-08,22.6,24.3
2016-09,20.5,20.9
2016-10,14.5,17.5
2016-11,8.9,9.7
2016-12,9.1,8.7
2017-01,6.6,7.6
2017-02,8.7,10.5
2017-03,12.5,13.6
2017-04,13.9,11.4
2017-05,17.8,17.2
2017-06,20.5,20.9
2017-07,21.9,23.4
2017-08,20.3,20.7
2017-09,17.9,19.4
2017-10,15.7,18.1
2017-11,10.3,10.8
2017-12,8.0,8.6
2018-01,8.1,9.2
2018-02,5.8,6.0
2018-03,8.3,8.0
2018-04,13.6,14.8
2018-05,19.2,18.9
2018-06,21.9,20.0
2018-07,26.2,24.3
2018-08,22.3,23.6
2018-09,18.9,18.1
2018-10,15.0,15.2
2018-11,11.2,14.4
2018-12,9.5,13.0
2019-01,7.1,8.0
2019-02,11.6,8.0
2019-03,11.9,13.0
2019-04,14.2,11.4
2019-05,16.3,15.3
2019-06,18.7,19.7
2019-07,23.1,24.2
2019-08,22.9,24.2
2019-09,19.0,20.8
2019-10,13.3,14.7
2019-11,8.7,9.8
2019-12,8.6,11.6
2020-01,9.4,10.1
2020-02,10.0,9.9
2020-03,10.7,8.7
2020-04,16.2,13.6
2020-05,18.9,16.0
2020-06,20.0,20.1
2020-07,20.7,20.9
2020-08,22.4,24.2
2020-09,19.2,18.0
2020-10,13.6,16.8
2020-11,11.4,14.8
2020-12,7.5,9.3
2021-01,5.7,6.0
2021-02,8.4,8.6
2021-03,11.2,9.8
2021-04,11.9,8.0
2021-05,15.0,14.9
2021-06,20.6,20.8
2021-07,23.7,24.2
2021-08,20.5,24.2
2021-09,21.3,21.5
2021-10,15.7,19.4
2021-11,10.9,11.4
2021-12,8.8,10.8
2022-01,8.2,7.6
2022-02,10.6,9.8
2022-03,12.2,9.2
2022-04,14.0,13.0
2022-05,18.2,16.9
2022-06,20.8,19.7
2022-07,24.6,24.2
2022-08,24.8,23.7
2022-09,19.2,19.4
2022-10,16.9,18.7
2022-11,12.0,14.7
2022-12,7.0,7.6
2023-01,8.5,8.7
2023-02,10.3,11.4
2023-03,10.4,10.3
2023-04,12.9,11.1
2023-05,17.1,16.8
2023-06,22.0,20.8
2023-07,20.6,20.9
2023-08,21.2,20.9
2023-09,21.6,23.6
2023-10,15.8,18.1
2023-11,10.4,11.4
2023-12,9.4,12.7
2024-01,7.8,10.1
2024-02,11.1,11.0
2024-03,11.7,11.0
2024-04,13.4,14.4
2024-05,18.7,19.4
2024-06,19.4,19.4
2024-07,21.9,20.7
2024-08,22.2,23.4
2024-09,17.7,21.8
2024-10,14.7,18.4
2024-11,10.0,9.8
2024-12,9.7,11.0
